stop_id,stop_name,bus_route_numbers,bus_route_names,directions,route_direction_pairs,eastbound_southbound_routes,westbound_northbound_routes,route_count
7037,Royal York Rd at The Westway,73; 405,73 - Royal York; 405 - Etobicoke,NORTHBOUND; WESTBOUND,73:NORTHBOUND; 405:WESTBOUND,,73; 405,2
15546,Royal York Rd at The Westway South Side,52,52 - Lawrence West,EASTBOUND,52:EASTBOUND,52,,1
7032,Royal York Rd at Thompson Ave,15; 76; 315,15 - Evans; 76 - Royal York South; 315 - Evans-Brown's Line,EASTBOUND; NORTHBOUND,15:EASTBOUND; 76:NORTHBOUND; 315:EASTBOUND,315,15; 76,3
7034,Royal York Rd at Trehorne Dr,73; 405,73 - Royal York; 405 - Etobicoke,SOUTHBOUND; EASTBOUND,73:SOUTHBOUND; 405:EASTBOUND,73; 405,,2
7033,Royal York Rd at Trehorne Dr South Side,73; 405,73 - Royal York; 405 - Etobicoke,NORTHBOUND; WESTBOUND,73:NORTHBOUND; 405:WESTBOUND,,73; 405,2
1520,Royal York Rd at Tremayne Ave,48; 73,48 - Rathburn; 73 - Royal York,EASTBOUND; SOUTHBOUND,48:EASTBOUND; 73:SOUTHBOUND,48; 73,,2
1521,Royal York Rd at Usher Ave,48; 73,48 - Rathburn; 73 - Royal York,EASTBOUND; SOUTHBOUND,48:EASTBOUND; 73:SOUTHBOUND,48; 73,,2
7036,Royal York Rd at Van Dusen Blvd,15; 76; 315,15 - Evans; 76 - Royal York South; 315 - Evans-Brown's Line,EASTBOUND; NORTHBOUND,15:EASTBOUND; 76:NORTHBOUND; 315:EASTBOUND,315,15; 76,3
7035,Royal York Rd at Van Dusen Blvd North Side,15; 76; 315,15 - Evans; 76 - Royal York South; 315 - Evans-Brown's Line,WESTBOUND; SOUTHBOUND,15:WESTBOUND; 76:SOUTHBOUND; 315:WESTBOUND,15; 76,315,3
7039,Royal York Rd at Weston Wood Rd,73; 405,73 - Royal York; 405 - Etobicoke,NORTHBOUND; WESTBOUND,73:NORTHBOUND; 405:WESTBOUND,,73; 405,2
7038,Royal York Rd at Weston Wood Rd North Side,73; 405,73 - Royal York; 405 - Etobicoke,SOUTHBOUND; EASTBOUND,73:SOUTHBOUND; 405:EASTBOUND,73; 405,,2
7042,Royal York Rd at York View Dr,15; 76; 315,15 - Evans; 76 - Royal York South; 315 - Evans-Brown's Line,WESTBOUND; SOUTHBOUND,15:WESTBOUND; 76:SOUTHBOUND; 315:WESTBOUND,15; 76,315,3
7043,Royal York Rd at York View Dr,15; 76; 315,15 - Evans; 76 - Royal York South; 315 - Evans-Brown's Line,EASTBOUND; NORTHBOUND,15:EASTBOUND; 76:NORTHBOUND; 315:EASTBOUND,315,15; 76,3
7040,Royal York Rd at Yorkleigh Ave,73; 405,73 - Royal York; 405 - Etobicoke,SOUTHBOUND; EASTBOUND,73:SOUTHBOUND; 405:EASTBOUND,73; 405,,2
7041,Royal York Rd at Yorkleigh Ave,73; 405,73 - Royal York; 405 - Etobicoke,NORTHBOUND; WESTBOUND,73:NORTHBOUND; 405:WESTBOUND,,73; 405,2
14751,Royal York Station,73,73 - Royal York,SOUTHBOUND; NORTHBOUND,73:SOUTHBOUND; 73:NORTHBOUND,73,73,1
14752,Royal York Station,48,48 - Rathburn,EASTBOUND; WESTBOUND,48:EASTBOUND; 48:WESTBOUND,48,48,1
14753,Royal York Station,15; 76; 315,15 - Evans; 76 - Royal York South; 315 - Evans-Brown's Line,WESTBOUND; EASTBOUND; SOUTHBOUND; NORTHBOUND,15:WESTBOUND; 15:EASTBOUND; 76:SOUTHBOUND; 76:NORTHBOUND; 315:EASTBOUND; 315:WESTBOUND,15; 76; 315,15; 76; 315,3
11519,Royalcrest Rd at Cabernet Cir,927,927 - Highway 27 Express,SOUTHBOUND,927:SOUTHBOUND,927,,1
11525,Royalcrest Rd at Cabernet Cir East Side,927,927 - Highway 27 Express,NORTHBOUND,927:NORTHBOUND,,927,1
11521,Royalcrest Rd at Highway 27,927,927 - Highway 27 Express,SOUTHBOUND,927:SOUTHBOUND,927,,1
11520,Royalcrest Rd at Leading Rd,927,927 - Highway 27 Express,SOUTHBOUND,927:SOUTHBOUND,927,,1
11524,Royalcrest Rd at Leading Rd East Side,927,927 - Highway 27 Express,NORTHBOUND,927:NORTHBOUND,,927,1
11526,Royalcrest Rd at Martin Grove Rd,927,927 - Highway 27 Express,NORTHBOUND,927:NORTHBOUND,,927,1
11518,Royalcrest Rd at Martin Grove Rd West Side,927,927 - Highway 27 Express,SOUTHBOUND,927:SOUTHBOUND,927,,1
13957,Roywood Dr at Fenside Dr South Side,122,122 - Graydon Hall,WESTBOUND,122:WESTBOUND,,122,1
13962,Roywood Dr at Fortrose Cres (East),122,122 - Graydon Hall,EASTBOUND,122:EASTBOUND,122,,1
13963,Roywood Dr at Fortrose Cres (West),122,122 - Graydon Hall,EASTBOUND,122:EASTBOUND,122,,1
13956,Roywood Dr at Marbury Cres (East),122,122 - Graydon Hall,EASTBOUND,122:EASTBOUND,122,,1
13955,Roywood Dr at Marbury Cres (East) East Side,122,122 - Graydon Hall,WESTBOUND,122:WESTBOUND,,122,1
4450,Runnymede Loop at Dundas St West,30,30 - High Park North,NORTHBOUND,30:NORTHBOUND; 30:NORTHBOUND,30,30,1
7047,Runnymede Rd at Annette St,71; 79,71 - Runnymede; 79 - Scarlett Rd,SOUTHBOUND,71:SOUTHBOUND; 79:SOUTHBOUND,71; 79,,2
7048,Runnymede Rd at Annette St,71; 79,71 - Runnymede; 79 - Scarlett Rd,NORTHBOUND,71:NORTHBOUND; 79:NORTHBOUND,,71; 79,2
11760,Runnymede Rd at Bloor St West North Side,77,77 - Swansea,SOUTHBOUND,77:SOUTHBOUND,77,,1
7049,Runnymede Rd at Bloor St West South Side,77,77 - Swansea,NORTHBOUND,77:NORTHBOUND,,77,1
7054,Runnymede Rd at Colbeck St,71; 79,71 - Runnymede; 79 - Scarlett Rd,NORTHBOUND,71:NORTHBOUND; 79:NORTHBOUND,,71; 79,2
7053,Runnymede Rd at Colbeck St North Side,71; 79,71 - Runnymede; 79 - Scarlett Rd,SOUTHBOUND,71:SOUTHBOUND; 79:SOUTHBOUND,71; 79,,2
